1069001,Prostatic Neoplasms
1069002,"Carcinoma, Hepatocellular"
1069003,"Mammary Neoplasms, Animal"
1069004,Carcinoma
1069005,Stomach Neoplasms
1069006,"Mammary Neoplasms, Experimental"
1069007,Breast Neoplasms
1069008,Colorectal Neoplasms
1069009,Neoplasm Metastasis
1069010,Lung Neoplasms
1069011,Adenocarcinoma of Lung
1069012,Neoplasm Invasiveness
1069013,"Mesothelioma, Malignant"
1069014,Colonic Neoplasms
1069015,"Carcinoma, Non-Small-Cell Lung"
1069016,"Carcinoma, Adenoid Cystic"
1069017,"Cell Transformation, Neoplastic"
1069018,"Leukemia, Myeloid, Acute"
1069019,Adenocarcinoma
1069020,"Liver Neoplasms, Experimental"
1069021,"Carcinoma, Squamous Cell"
1069022,Urinary Bladder Neoplasms
1069023,Polycystic Ovary Syndrome
1069024,Esophageal Squamous Cell Carcinoma
1069025,Melanoma
1069026,Pancreatic Neoplasms
1069027,"Carcinoma, Renal Cell"
1069028,Ovarian Neoplasms
1069029,Esophageal Neoplasms
1069030,"Thyroid Cancer, Papillary"
1069031,Squamous Cell Carcinoma of Head and Neck
1069032,Liver Neoplasms
1069033,Precancerous Conditions
1069034,"Leukemia, Promyelocytic, Acute"
1069035,Glioblastoma
1069036,Endometrial Neoplasms
1069037,Neuroblastoma
1069038,Glioma
1069039,Medulloblastoma
1069040,Mouth Neoplasms
1069041,Gastrointestinal Stromal Tumors
1069042,Skin Neoplasms
1069043,Salivary Gland Neoplasms
1069044,Thyroid Neoplasms
1069045,Mesothelioma
1069046,"Carcinoma, Pancreatic Ductal"
1069047,Nasopharyngeal Carcinoma
1069048,"Leukemia-Lymphoma, Adult T-Cell"
1069049,"Neoplasm Recurrence, Local"
1069050,Head and Neck Neoplasms
1069051,Osteosarcoma
1069052,Neoplasms
1069053,Toxoplasmosis
1069054,Tobacco Use Disorder
1069055,Tongue Neoplasms
1069056,Tooth Diseases
1069057,Tracheal Neoplasms
1069058,Fibroma
1069059,Lymphoma
1069060,"Neoplasms, Experimental"
1069061,Papilloma
1069062,Uterine Cervical Neoplasms
1069063,"Melanoma, Experimental"
1069064,Triple Negative Breast Neoplasms
1069065,"Prostatic Neoplasms, Castration-Resistant"
1069066,"Leukemia, Experimental"
1069067,"Lymphoma, Large B-Cell, Diffuse"
1069068,"Lymphoma, Mantle-Cell"
1069069,Precursor Cell Lymphoblastic Leukemia-Lymphoma
1069070,Small Cell Lung Carcinoma
1069071,Hodgkin Disease
1069072,"Lymphoma, AIDS-Related"
1069073,"Leukemia, Lymphocytic, Chronic, B-Cell"
1069074,Gastrointestinal Neoplasms
1069075,Myasthenia Gravis
1069076,"Lymphoma, Non-Hodgkin"
